TOR 43°38′36″N 79°22′45″W 249
MIA 25°46′53″N 80°11′17″W 5.906
DAL 32°47′26″N 96°48′37″W 430
ORL 28°32′21″N 81°23′1″W 82
SAS 29°25′37″N 98°26′15″W 650
IND 39°45′50″N 86°9′20″W 715
BRK 40°40′57.58″N 73°58′30.81″W 33
MIL 43°2′37″N 87°55′1″W 617
OKC 35°27′48″N 97°30′54″W 1201
MEM 35°8′18″N 90°3′2″W 337
NYK 40°45′2″N 73°59′37″W 33
POR 45°31′54″N 122°40′0″W 50
GSW 37°45′1″N 122°12′11″W 43
DEN 39°44′55″N 105°0′27″W 5410
ATL 33°45′26″N 84°23′47″W 1050
CLE 41°29′47″N 81°41′17″W 653
SAC 38°38′57″N 121°31′5″W 30
NOP 29°56′56″N 90°4′55″W 6.75
LAL 34°02′35″N 118°16′02″W 233
LAC 34°02′35″N 118°16′02″W 233
PHO 33°26′45″N 112°4′17″W 1086
MIN 44°58′46″N 93°16′34″W 830
BOS 42°21′58.69″N 71°3′44.02″W 141
DET 42°41′49″N 83°14′44″W 600
CHA 35°13′30″N 80°50′21″W 751
CHO 35°13′30″N 80°50′21″W 751
HOU 29°45′3″N 95°21′44″W 43
CHI 41°52′50″N 87°40′27″W 594
WAS 38°53′53″N 77°1′15″W 205
UTA 40°46′6″N 111°54′4″W 4226
PHI 39°54′4″N 75°10′19″W 39
SEA 47.62212°N 122.35410°W 518
NJN 40°48′42″N 74°4′3″W 1803
NOH 29°56′56″N 90°4′55″W 6.75
NOK 35°27′48″N 97°30′54″W 1201
